ID,Date,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,t
AS14.01,2014-02-26,6.25,-0.25,2.0,,,,,,,,,,,,,,,,,10.0
AS14.01,2014-02-27,6.333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,11.0
AS14.01,2014-03-21,6.2,0.2,598.7539999999999,,,,,,,,,,,,,,,,,33.0
AS14.01,2014-03-22,6.4,0.6,117.62100000000001,,,,,,,,,,,,,,,,,34.0
AS14.01,2014-03-23,6.8,0.2,30.386,,,,,,,,,,,,,,,,,35.0
AS14.01,2014-03-24,6.0,0.8,178.732,,,,,,,,,,,,,,,,,36.0
AS14.01,2014-03-25,6.75,0.5,222.893,,,,,,,,,,,,,,,,,37.0
AS14.01,2014-03-26,6.6,-0.2,33.365,,,,,,,,,,,,,,,,,38.0
AS14.01,2014-03-27,7.0,0.2,179.02899999999997,,,,,,,,,,,,,,,,,39.0
AS14.01,2014-03-28,6.4,-0.6,301.717,,,,,,,,,,,,,,,,,40.0
AS14.01,2014-03-29,8.0,0.2,600.6370000000001,,,,,,,,,,,,,,,,,41.0
AS14.01,2014-03-30,7.5,-0.5,38.296,,,,,,,,,,,,,,,,,42.0
AS14.01,2014-03-31,7.4,0.0,210.30500000000004,,,,,,,,,,,,,,,,,43.0
AS14.01,2014-04-01,6.0,0.2,517.636,,,,,,,,,,,,,,,,,44.0
AS14.01,2014-04-02,6.5,0.3333333333333333,341.371,,,,,,,,,,,,,,,,,45.0
AS14.01,2014-04-03,6.4,-1.2,182.772,,,,,,,,,,,,,,,,,46.0
AS14.01,2014-04-04,6.2,0.2,128.692,,,,,,,,,,,,,,,,,47.0
AS14.01,2014-04-05,6.8,-0.4,118.956,,,,,,,,,,,,,,,,,48.0
AS14.01,2014-04-06,6.5,-0.75,46.249,,,,,,,,,,,,,,,,,49.0
AS14.01,2014-04-07,6.5,-0.6666666666666666,205.81100000000004,,,,,,,,,,,,,,,,,50.0
AS14.01,2014-04-08,6.6,-0.4,36.143,,,,,,,,,,,,,,,,,51.0
AS14.01,2014-04-09,7.4,-0.8,577.359,,,,,,,,,,,,,,,,,52.0
AS14.01,2014-04-10,7.4,-0.4,377.68699999999995,,,,,,,,,,,,,,,,,53.0
AS14.01,2014-04-11,7.0,-1.2,214.648,,,,,,,,,,,,,,,,,54.0
AS14.01,2014-04-12,7.25,-0.75,352.39199999999994,,,,,,,,,,,,,,,,,55.0
AS14.01,2014-04-13,8.0,-1.25,0.0,,,,,,,,,,,,,,,,,56.0
AS14.01,2014-04-14,7.2,-1.2,986.014,,,,,,,,,,,,,,,,,57.0
AS14.01,2014-04-15,6.4,0.0,279.79299999999995,,,,,,,,,,,,,,,,,58.0
AS14.01,2014-04-16,7.2,0.75,223.587,,,,,,,,,,,,,,,,,59.0
AS14.01,2014-04-17,6.6,-0.4,49.718,,,,,,,,,,,,,,,,,60.0
AS14.01,2014-04-18,6.8,-0.8,88.68,,,,,,,,,,,,,,,,,61.0
AS14.01,2014-04-19,7.8,-0.2,305.79600000000005,,,,,,,,,,,,,,,,,62.0
AS14.01,2014-04-20,7.25,-0.25,121.03500000000001,,,,,,,,,,,,,,,,,63.0
AS14.01,2014-04-21,7.6,-0.25,210.88199999999998,,,,,,,,,,,,,,,,,64.0
AS14.01,2014-04-22,7.4,0.2,423.215,,,,,,,,,,,,,,,,,65.0
AS14.01,2014-04-23,7.6,0.2,246.944,,,,,,,,,,,,,,,,,66.0
AS14.01,2014-04-24,7.6,-0.4,716.1970000000001,,,,,,,,,,,,,,,,,67.0
AS14.01,2014-04-25,7.2,-0.2,347.974,,,,,,,,,,,,,,,,,68.0
AS14.01,2014-04-26,7.6,-0.2,315.763,,,,,,,,,,,,,,,,,69.0
AS14.01,2014-04-27,7.5,0.0,60.337999999999994,,,,,,,,,,,,,,,,,70.0
AS14.01,2014-04-28,7.6,-0.8,380.193,,,,,,,,,,,,,,,,,71.0
AS14.01,2014-04-29,7.0,-0.25,410.436,,,,,,,,,,,,,,,,,72.0
